 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Capítulo CID-10
Período:2024
"Categoria CID-10";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"B26   Caxumba";15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"B27   Mononucleose infecc";9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"B33   Outr doenc p/virus NCOP";36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36
"B34   Doenc p/virus de localiz NE";5850;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5850
"B37   Candidiase";109;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;109
"B38   Coccidioidomicose";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"B39   Histoplasmose";22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"B40   Blastomicose";7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"B41   Paracoccidioidomicose";62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62
"B42   Esporotricose";12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"B43   Cromomicose e abscesso feomicotico";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"B44   Aspergilose";90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;90
"B45   Criptococose";129;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;129
"B46   Zigomicose";17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"B47   Micetoma";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B48   Outr micoses NCOP";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"B49   Micose NE";24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"B50   Malaria p/Plasmodium falciparum";24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"B51   Malaria p/Plasmodium vivax";22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"B52   Malaria p/Plasmodium malariae";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B54   Malaria NE";9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"B55   Leishmaniose";173;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;173
"B56   Tripanossomiase africana";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B57   Doenc de Chagas";3750;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3750
"B58   Toxoplasmose";71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71
"B59   Pneumocistose";83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;83
"B60   Outr doenc dev protozoarios NCOP";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B64   Doenc NE dev protozoarios";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B65   Esquistossomose";402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;402
"B66   Outr infestacoes p/trematodeos";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B67   Equinococose";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"B69   Cisticercose";60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60
"B71   Outr infestacoes p/cestoides";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B73   Oncocercose";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B74   Filariose";20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"B76   Ancilostomiase";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B77   Ascaridiase";12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"B78   Estrongiloidiase";5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"B79   Tricuriase";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B80   Oxiuriase";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"B82   Parasitose intestinal NE";12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"B86   Escabiose";10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"B87   Miiase";111;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;111
"B88   Outr infestacoes";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"B89   Doenc parasit NE";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"B90   Sequelas de tuberc";298;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;298
"B91   Sequelas de poliomielite";100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100
"B92   Sequelas de hanseniase";43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43
"B94   Sequelas de outr doenc infecc e parasit e NE";270;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;270
"B99   Doenc infecc outr e as NE";83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;83
"C00   Neopl malig do labio";-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73
"C01   Neopl malig da base da lingua";-;639;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;639
"C02   Neopl malig outr partes e NE da lingua";-;1550;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1550
"C03   Neopl malig da gengiva";-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44
"C04   Neopl malig do assoalho da boca";-;263;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;263
"C05   Neopl malig do palato";-;274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;274
"C06   Neopl malig outr partes e partes NE da boca";-;1237;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1237
"C07   Neopl malig da gland parotida";-;364;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;364
"C08   Neopl malig outr gland saliv maiores e NE";-;148;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;148
"C09   Neopl malig da amigdala";-;134;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;134
"C10   Neopl malig da orofaringe";-;2431;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2431
"C11   Neopl malig da nasofaringe";-;366;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;366
