 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Capítulo CID-10
Período:2024
"Categoria CID-10";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"G61   Polineuropatia inflam";-;-;-;-;-;340;-;-;-;-;-;-;-;-;-;-;-;-;-;340
"G62   Outr polineuropatias";-;-;-;-;-;280;-;-;-;-;-;-;-;-;-;-;-;-;-;280
"G64   Outr transt do sist nervoso periferico";-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"G70   Miastenia gravis outr transt neuromusculares";-;-;-;-;-;193;-;-;-;-;-;-;-;-;-;-;-;-;-;193
"G71   Transt prim dos musculos";-;-;-;-;-;433;-;-;-;-;-;-;-;-;-;-;-;-;-;433
"G72   Outr miopatias";-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;46
"G80   Paralisia cerebral";-;-;-;-;-;1711;-;-;-;-;-;-;-;-;-;-;-;-;-;1711
"G81   Hemiplegia";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"G82   Paraplegia e tetraplegia";-;-;-;-;-;145;-;-;-;-;-;-;-;-;-;-;-;-;-;145
"G83   Outr sindr paraliticas";-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;26
"G90   Transt do sist nervoso autonomo";-;-;-;-;-;193;-;-;-;-;-;-;-;-;-;-;-;-;-;193
"G91   Hidrocefalia";-;-;-;-;-;871;-;-;-;-;-;-;-;-;-;-;-;-;-;871
"G92   Encefalopatia toxica";-;-;-;-;-;78;-;-;-;-;-;-;-;-;-;-;-;-;-;78
"G93   Outr transt do encefalo";-;-;-;-;-;2493;-;-;-;-;-;-;-;-;-;-;-;-;-;2493
"G95   Outr doenc da medula espinal";-;-;-;-;-;125;-;-;-;-;-;-;-;-;-;-;-;-;-;125
"G96   Outr transt do sist nervoso central";-;-;-;-;-;170;-;-;-;-;-;-;-;-;-;-;-;-;-;170
"G98   Outr transt do sist nervoso NCOP";-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;61
"H05   Transt da orbita";-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;18
"H40   Glaucoma";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;3
"H44   Transt do globo ocular";-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;12
"H49   Estrabismo paralitico";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"H53   Disturbios visuais";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"H57   Outr transt do olho e anexos";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"H60   Otite externa";-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;31
"H65   Otite media nao-supurativa";-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;26
"H66   Otite media supurativa e as NE";-;-;-;-;-;-;-;164;-;-;-;-;-;-;-;-;-;-;-;164
"H70   Mastoidite e afeccoes correlatas";-;-;-;-;-;-;-;129;-;-;-;-;-;-;-;-;-;-;-;129
"H71   Colesteatoma do ouvido medio";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"H72   Perfuracao da membrana do timpano";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"H74   Outr transt do ouvido medio e da mastoide";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;4
"H81   Transt da funcao vestibular";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;4
"H83   Outr transt do ouvido interno";-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;8
"H92   Otalgia e secrecao auditiva";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"I00   Febre reumatica s/mencao de compr do coracao";-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;36
"I01   Febre reumatica c/compr do coracao";-;-;-;-;-;-;-;-;110;-;-;-;-;-;-;-;-;-;-;110
"I02   Coreia reumatica";-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;5
"I05   Doenc reumaticas da valva mitral";-;-;-;-;-;-;-;-;1129;-;-;-;-;-;-;-;-;-;-;1129
"I06   Doenc reumaticas da valva aortica";-;-;-;-;-;-;-;-;102;-;-;-;-;-;-;-;-;-;-;102
"I07   Doenc reumaticas da valva tricuspide";-;-;-;-;-;-;-;-;102;-;-;-;-;-;-;-;-;-;-;102
"I08   Doenc de mult valvas";-;-;-;-;-;-;-;-;842;-;-;-;-;-;-;-;-;-;-;842
"I09   Outr doenc reumaticas do coracao";-;-;-;-;-;-;-;-;185;-;-;-;-;-;-;-;-;-;-;185
"I10   Hipertensao essencial";-;-;-;-;-;-;-;-;35189;-;-;-;-;-;-;-;-;-;-;35189
"I11   Doenc cardiaca hipertensiva";-;-;-;-;-;-;-;-;22312;-;-;-;-;-;-;-;-;-;-;22312
"I12   Doenc renal hipertensiva";-;-;-;-;-;-;-;-;4990;-;-;-;-;-;-;-;-;-;-;4990
"I13   Doenc cardiaca e renal hipertensiva";-;-;-;-;-;-;-;-;3065;-;-;-;-;-;-;-;-;-;-;3065
"I15   Hipertensao secund";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2
"I20   Angina pectoris";-;-;-;-;-;-;-;-;622;-;-;-;-;-;-;-;-;-;-;622
"I21   Infarto agudo do miocardio";-;-;-;-;-;-;-;-;94248;-;-;-;-;-;-;-;-;-;-;94248
"I22   Infarto do miocardio recorrente";-;-;-;-;-;-;-;-;173;-;-;-;-;-;-;-;-;-;-;173
"I23   Alg complic atuais subs infarto agud miocard";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"I24   Outr doenc isquemicas agudas do coracao";-;-;-;-;-;-;-;-;2946;-;-;-;-;-;-;-;-;-;-;2946
"I25   Doenc isquemica cronica do coracao";-;-;-;-;-;-;-;-;21697;-;-;-;-;-;-;-;-;-;-;21697
"I26   Embolia pulmonar";-;-;-;-;-;-;-;-;9627;-;-;-;-;-;-;-;-;-;-;9627
"I27   Outr form de doenc cardiaca pulmonar";-;-;-;-;-;-;-;-;1148;-;-;-;-;-;-;-;-;-;-;1148
"I28   Outr doenc dos vasos pulmonares";-;-;-;-;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;75
"I30   Pericardite aguda";-;-;-;-;-;-;-;-;151;-;-;-;-;-;-;-;-;-;-;151
"I31   Outr doenc do pericardio";-;-;-;-;-;-;-;-;806;-;-;-;-;-;-;-;-;-;-;806
"I33   Endocardite aguda e subaguda";-;-;-;-;-;-;-;-;1346;-;-;-;-;-;-;-;-;-;-;1346
"I34   Transt nao-reumaticos da valva mitral";-;-;-;-;-;-;-;-;1367;-;-;-;-;-;-;-;-;-;-;1367
"I35   Transt nao-reumaticos da valva aortica";-;-;-;-;-;-;-;-;3557;-;-;-;-;-;-;-;-;-;-;3557
"I36   Transt nao-reumaticos da valva tricuspide";-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;41
"I37   Transt da valva pulmonar";-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;22
"I38   Endocardite de valva NE";-;-;-;-;-;-;-;-;1017;-;-;-;-;-;-;-;-;-;-;1017
"I40   Miocardite aguda";-;-;-;-;-;-;-;-;214;-;-;-;-;-;-;-;-;-;-;214
"I42   Cardiomiopatias";-;-;-;-;-;-;-;-;10842;-;-;-;-;-;-;-;-;-;-;10842
"I44   Bloqueio atrioventricular e do ramo esquerdo";-;-;-;-;-;-;-;-;1470;-;-;-;-;-;-;-;-;-;-;1470
"I45   Outr transt de conducao";-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;76
"I46   Parada cardiaca";-;-;-;-;-;-;-;-;3797;-;-;-;-;-;-;-;-;-;-;3797
"I47   Taquicardia paroxistica";-;-;-;-;-;-;-;-;606;-;-;-;-;-;-;-;-;-;-;606
"I48   Flutter e fibrilacao atrial";-;-;-;-;-;-;-;-;6636;-;-;-;-;-;-;-;-;-;-;6636
"I49   Outr arritmias cardiacas";-;-;-;-;-;-;-;-;3876;-;-;-;-;-;-;-;-;-;-;3876
"I50   Insuf cardiaca";-;-;-;-;-;-;-;-;31988;-;-;-;-;-;-;-;-;-;-;31988
"I51   Complic cardiopatias doenc cardiacas mal def";-;-;-;-;-;-;-;-;4647;-;-;-;-;-;-;-;-;-;-;4647
"I60   Hemorragia subaracnoide";-;-;-;-;-;-;-;-;5816;-;-;-;-;-;-;-;-;-;-;5816
"I61   Hemorragia intracerebral";-;-;-;-;-;-;-;-;17016;-;-;-;-;-;-;-;-;-;-;17016
"I62   Outr hemorragias intracranianas nao-traum";-;-;-;-;-;-;-;-;2129;-;-;-;-;-;-;-;-;-;-;2129
"I63   Infarto cerebral";-;-;-;-;-;-;-;-;12528;-;-;-;-;-;-;-;-;-;-;12528
"I64   Acid vasc cerebr NE como hemorrag isquemico";-;-;-;-;-;-;-;-;33721;-;-;-;-;-;-;-;-;-;-;33721
"I67   Outr doenc cerebrovasculares";-;-;-;-;-;-;-;-;15494;-;-;-;-;-;-;-;-;-;-;15494
"I69   Sequelas de doenc cerebrovasculares";-;-;-;-;-;-;-;-;19478;-;-;-;-;-;-;-;-;-;-;19478
"I70   Aterosclerose";-;-;-;-;-;-;-;-;752;-;-;-;-;-;-;-;-;-;-;752
"I71   Aneurisma e disseccao da aorta";-;-;-;-;-;-;-;-;9419;-;-;-;-;-;-;-;-;-;-;9419
"I72   Outr aneurismas";-;-;-;-;-;-;-;-;670;-;-;-;-;-;-;-;-;-;-;670
"I73   Outr doenc vasculares perifericas";-;-;-;-;-;-;-;-;3313;-;-;-;-;-;-;-;-;-;-;3313
"I74   Embolia e trombose arteriais";-;-;-;-;-;-;-;-;1754;-;-;-;-;-;-;-;-;-;-;1754
"I77   Outr afeccoes das arterias e arteriolas";-;-;-;-;-;-;-;-;659;-;-;-;-;-;-;-;-;-;-;659
"I78   Doenc dos capilares";-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;26
"I80   Flebite e tromboflebite";-;-;-;-;-;-;-;-;1661;-;-;-;-;-;-;-;-;-;-;1661
"I81   Trombose da veia porta";-;-;-;-;-;-;-;-;137;-;-;-;-;-;-;-;-;-;-;137
"I82   Outr embolia e trombose venosas";-;-;-;-;-;-;-;-;737;-;-;-;-;-;-;-;-;-;-;737
"I83   Varizes dos membros infer";-;-;-;-;-;-;-;-;556;-;-;-;-;-;-;-;-;-;-;556
"I84   Hemorroidas";-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;53
"I85   Varizes esofagianas";-;-;-;-;-;-;-;-;580;-;-;-;-;-;-;-;-;-;-;580
"I86   Varizes de outr localiz";-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;53
"I87   Outr transt das veias";-;-;-;-;-;-;-;-;498;-;-;-;-;-;-;-;-;-;-;498
"I88   Linfadenite inespecifica";-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;8
"I89   Outr transt nao-infecc vasos linf gangl linf";-;-;-;-;-;-;-;-;172;-;-;-;-;-;-;-;-;-;-;172
"I95   Hipotensao";-;-;-;-;-;-;-;-;220;-;-;-;-;-;-;-;-;-;-;220
"I99   Outr transt do aparelho circulatorio e os NE";-;-;-;-;-;-;-;-;90;-;-;-;-;-;-;-;-;-;-;90
"J00   Nasofaringite aguda";-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;3
"J01   Sinusite aguda";-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;56
"J02   Faringite aguda";-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;16
"J03   Amigdalite aguda";-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;42
"J04   Laringite e traqueite agudas";-;-;-;-;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;68
"J05   Laringite obstrutiva aguda e epiglotite";-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;10
"J06   Infecc agudas vias aereas super loc mult NE";-;-;-;-;-;-;-;-;-;395;-;-;-;-;-;-;-;-;-;395
"J09   Influenza A (H1N1)";-;-;-;-;-;-;-;-;-;493;-;-;-;-;-;-;-;-;-;493
"J10   Influenza dev outro virus influenza ident";-;-;-;-;-;-;-;-;-;932;-;-;-;-;-;-;-;-;-;932
"J11   Influenza dev virus nao identificado";-;-;-;-;-;-;-;-;-;1033;-;-;-;-;-;-;-;-;-;1033
"J12   Pneumonia viral NCOP";-;-;-;-;-;-;-;-;-;784;-;-;-;-;-;-;-;-;-;784
"J13   Pneumonia dev Streptococcus pneumoniae";-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;62
"J14   Pneumonia dev Haemophilus infuenzae";-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;26
"J15   Pneumonia bacter NCOP";-;-;-;-;-;-;-;-;-;21400;-;-;-;-;-;-;-;-;-;21400
"J16   Pneumonia dev out microorg infecc espec NCOP";-;-;-;-;-;-;-;-;-;95;-;-;-;-;-;-;-;-;-;95
"J18   Pneumonia p/microorg NE";-;-;-;-;-;-;-;-;-;76950;-;-;-;-;-;-;-;-;-;76950
"J20   Bronquite aguda";-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;81
"J21   Bronquiolite aguda";-;-;-;-;-;-;-;-;-;707;-;-;-;-;-;-;-;-;-;707
"J22   Infecc agudas NE das vias aereas infer";-;-;-;-;-;-;-;-;-;1066;-;-;-;-;-;-;-;-;-;1066
"J31   Rinite nasofaringite e faringite cronicas";-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;3
"J32   Sinusite cronica";-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;55
"J34   Outr transt do nariz e dos seios paranasais";-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;9
"J35   Doenc cronicas das amigdalas e das adenoides";-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;9
"J36   Abscesso periamigdaliano";-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;59
"J37   Laringite e laringotraqueite cronicas";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2
"J38   Doenc das cordas vocais e da laringe NCOP";-;-;-;-;-;-;-;-;-;89;-;-;-;-;-;-;-;-;-;89
"J39   Outr doenc das vias aereas super";-;-;-;-;-;-;-;-;-;128;-;-;-;-;-;-;-;-;-;128
"J40   Bronquite NE como aguda ou cronica";-;-;-;-;-;-;-;-;-;290;-;-;-;-;-;-;-;-;-;290
"J41   Bronquite cronica simples e a mucopurulenta";-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;34
"J42   Bronquite cronica NE";-;-;-;-;-;-;-;-;-;163;-;-;-;-;-;-;-;-;-;163
"J43   Enfisema";-;-;-;-;-;-;-;-;-;4286;-;-;-;-;-;-;-;-;-;4286
"J44   Outr doenc pulmonares obstrutivas cronicas";-;-;-;-;-;-;-;-;-;49787;-;-;-;-;-;-;-;-;-;49787
"J45   Asma";-;-;-;-;-;-;-;-;-;2755;-;-;-;-;-;-;-;-;-;2755
"J46   Estado de mal asmatico";-;-;-;-;-;-;-;-;-;268;-;-;-;-;-;-;-;-;-;268
"J47   Bronquectasia";-;-;-;-;-;-;-;-;-;256;-;-;-;-;-;-;-;-;-;256
"J60   Pneumoconiose dos mineiros de carvao";-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;44
"J61   Pneumoconiose dev amianto outr fibr minerais";-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;15
"J62   Pneumoconiose dev poeira que cont silica";-;-;-;-;-;-;-;-;-;141;-;-;-;-;-;-;-;-;-;141
"J63   Pneumoconiose dev outr poeiras inorganicas";-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;14
"J64   Pneumoconiose NE";-;-;-;-;-;-;-;-;-;119;-;-;-;-;-;-;-;-;-;119
"J65   Pneumoconiose assoc c/tuberc";-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;12
"J66   Doenc das vias aereas dev poeiras org espec";-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;3
"J67   Pneumonite hipersensibilid dev poeiras org";-;-;-;-;-;-;-;-;-;127;-;-;-;-;-;-;-;-;-;127
"J68   Afecc resp dev inal prod quim gas fumac vap";-;-;-;-;-;-;-;-;-;194;-;-;-;-;-;-;-;-;-;194
"J69   Pneumonite dev solidos e liquidos";-;-;-;-;-;-;-;-;-;9495;-;-;-;-;-;-;-;-;-;9495
"J70   Afeccoes respirat dev outr agentes externos";-;-;-;-;-;-;-;-;-;130;-;-;-;-;-;-;-;-;-;130
"J80   Sindr do desconforto respirat do adulto";-;-;-;-;-;-;-;-;-;326;-;-;-;-;-;-;-;-;-;326
"J81   Edema pulmonar NE de outr form";-;-;-;-;-;-;-;-;-;2674;-;-;-;-;-;-;-;-;-;2674
"J82   Eosinofilia pulmonar NCOP";-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;26
"J84   Outr doenc pulmonares intersticiais";-;-;-;-;-;-;-;-;-;4065;-;-;-;-;-;-;-;-;-;4065
"J85   Abscesso do pulmao e do mediastino";-;-;-;-;-;-;-;-;-;399;-;-;-;-;-;-;-;-;-;399
"J86   Piotorax";-;-;-;-;-;-;-;-;-;584;-;-;-;-;-;-;-;-;-;584
"J90   Derrame pleural NCOP";-;-;-;-;-;-;-;-;-;1795;-;-;-;-;-;-;-;-;-;1795
"J92   Placas pleurais";-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;10
"J93   Pneumotorax";-;-;-;-;-;-;-;-;-;397;-;-;-;-;-;-;-;-;-;397
"J94   Outr afeccoes pleurais";-;-;-;-;-;-;-;-;-;173;-;-;-;-;-;-;-;-;-;173
"J95   Afeccoes respirat pos-proced NCOP";-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;6
"J96   Insuf respirat NCOP";-;-;-;-;-;-;-;-;-;5192;-;-;-;-;-;-;-;-;-;5192
"J98   Outr transt respirat";-;-;-;-;-;-;-;-;-;5710;-;-;-;-;-;-;-;-;-;5710
"K04   Doenc da polpa e dos tec periapicais";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;6
"K05   Gengivite e doenc periodontais";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"K08   Outr transt dentes e estrut de sustentacao";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;4
"K09   Cistos da regiao bucal NCOP";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"K11   Doenc das gland salivares";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"K12   Estomatite e lesoes correlatas";-;-;-;-;-;-;-;-;-;-;90;-;-;-;-;-;-;-;-;90
"K13   Outr doenc do labio e da mucosa oral";-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;29
"K14   Doenc da lingua";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
"K20   Esofagite";-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;80
"K21   Doenc de refluxo gastroesofagico";-;-;-;-;-;-;-;-;-;-;127;-;-;-;-;-;-;-;-;127
"K22   Outr doenc do esofago";-;-;-;-;-;-;-;-;-;-;568;-;-;-;-;-;-;-;-;568
"K25   Ulcera gastrica";-;-;-;-;-;-;-;-;-;-;3009;-;-;-;-;-;-;-;-;3009
"K26   Ulcera duodenal";-;-;-;-;-;-;-;-;-;-;1176;-;-;-;-;-;-;-;-;1176
"K27   Ulcera peptica de localiz NE";-;-;-;-;-;-;-;-;-;-;1063;-;-;-;-;-;-;-;-;1063
"K28   Ulcera gastrojejunal";-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;47
"K29   Gastrite e duodenite";-;-;-;-;-;-;-;-;-;-;582;-;-;-;-;-;-;-;-;582
"K30   Dispepsia";-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;17
"K31   Outr doenc do estomago e do duodeno";-;-;-;-;-;-;-;-;-;-;313;-;-;-;-;-;-;-;-;313
"K35   Apendicite aguda";-;-;-;-;-;-;-;-;-;-;866;-;-;-;-;-;-;-;-;866
"K36   Outr form de apendicite";-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;15
"K37   Apendicite SOE";-;-;-;-;-;-;-;-;-;-;174;-;-;-;-;-;-;-;-;174
"K38   Outr doenc do apendice";-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;17
"K40   Hernia inguinal";-;-;-;-;-;-;-;-;-;-;1140;-;-;-;-;-;-;-;-;1140
"K41   Hernia femoral";-;-;-;-;-;-;-;-;-;-;116;-;-;-;-;-;-;-;-;116
"K42   Hernia umbilical";-;-;-;-;-;-;-;-;-;-;418;-;-;-;-;-;-;-;-;418
"K43   Hernia ventral";-;-;-;-;-;-;-;-;-;-;364;-;-;-;-;-;-;-;-;364
"K44   Hernia diafragmatica";-;-;-;-;-;-;-;-;-;-;282;-;-;-;-;-;-;-;-;282
"K45   Outr hernias abdominais";-;-;-;-;-;-;-;-;-;-;78;-;-;-;-;-;-;-;-;78
"K46   Hernia abdominal NE";-;-;-;-;-;-;-;-;-;-;986;-;-;-;-;-;-;-;-;986
"K50   Doenc de Crohn";-;-;-;-;-;-;-;-;-;-;316;-;-;-;-;-;-;-;-;316
"K51   Colite ulcerativa";-;-;-;-;-;-;-;-;-;-;367;-;-;-;-;-;-;-;-;367
"K52   Outr gastroenterites e colites nao-infecc";-;-;-;-;-;-;-;-;-;-;612;-;-;-;-;-;-;-;-;612
"K55   Transt vasculares do intestino";-;-;-;-;-;-;-;-;-;-;3809;-;-;-;-;-;-;-;-;3809
"K56   Ileo paralitico e obstr intestinal s/hernia";-;-;-;-;-;-;-;-;-;-;7449;-;-;-;-;-;-;-;-;7449
"K57   Doenc diverticular do intestino";-;-;-;-;-;-;-;-;-;-;2969;-;-;-;-;-;-;-;-;2969
"K58   Sindr do colon irritavel";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;11
"K59   Outr transt funcionais do intestino";-;-;-;-;-;-;-;-;-;-;763;-;-;-;-;-;-;-;-;763
"K60   Fissura e fistula das regioes anal e retal";-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;44
"K61   Abscesso das regioes anal e retal";-;-;-;-;-;-;-;-;-;-;121;-;-;-;-;-;-;-;-;121
"K62   Outr doenc do reto e do anus";-;-;-;-;-;-;-;-;-;-;146;-;-;-;-;-;-;-;-;146
"K63   Outr doenc do intestino";-;-;-;-;-;-;-;-;-;-;1328;-;-;-;-;-;-;-;-;1328
"K65   Peritonite";-;-;-;-;-;-;-;-;-;-;2189;-;-;-;-;-;-;-;-;2189
"K66   Outr transt do peritonio";-;-;-;-;-;-;-;-;-;-;357;-;-;-;-;-;-;-;-;357
"K70   Doenc alcoolica do figado";-;-;-;-;-;-;-;-;-;-;11135;-;-;-;-;-;-;-;-;11135
"K71   Doenc hepatica toxica";-;-;-;-;-;-;-;-;-;-;329;-;-;-;-;-;-;-;-;329
"K72   Insuf hepatica NCOP";-;-;-;-;-;-;-;-;-;-;2383;-;-;-;-;-;-;-;-;2383
"K73   Hepatite cronica NCOP";-;-;-;-;-;-;-;-;-;-;375;-;-;-;-;-;-;-;-;375
"K74   Fibrose e cirrose hepaticas";-;-;-;-;-;-;-;-;-;-;9789;-;-;-;-;-;-;-;-;9789
"K75   Outr doenc inflam do figado";-;-;-;-;-;-;-;-;-;-;778;-;-;-;-;-;-;-;-;778
"K76   Outr doenc do figado";-;-;-;-;-;-;-;-;-;-;3142;-;-;-;-;-;-;-;-;3142
"K80   Colelitiase";-;-;-;-;-;-;-;-;-;-;2794;-;-;-;-;-;-;-;-;2794
"K81   Colecistite";-;-;-;-;-;-;-;-;-;-;2209;-;-;-;-;-;-;-;-;2209
"K82   Outr doenc da vesicula biliar";-;-;-;-;-;-;-;-;-;-;243;-;-;-;-;-;-;-;-;243
"K83   Outr doenc das vias biliares";-;-;-;-;-;-;-;-;-;-;2137;-;-;-;-;-;-;-;-;2137
"K85   Pancreatite aguda";-;-;-;-;-;-;-;-;-;-;3807;-;-;-;-;-;-;-;-;3807
"K86   Outr doenc do pancreas";-;-;-;-;-;-;-;-;-;-;519;-;-;-;-;-;-;-;-;519
"K90   Ma-absorcao intestinal";-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;54
"K92   Outr doenc do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;9796;-;-;-;-;-;-;-;-;9796
"L00   Sindr pele escaldada estafilococ recem-nasc";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;4
"L01   Impetigo";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;16
"L02   Abscesso cutaneo furunculo e antraz";-;-;-;-;-;-;-;-;-;-;-;526;-;-;-;-;-;-;-;526
"L03   Celulite";-;-;-;-;-;-;-;-;-;-;-;1274;-;-;-;-;-;-;-;1274
"L04   Linfadenite aguda";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"L05   Cisto pilonidal";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
"L08   Outr infecc localiz pele e tec subcutaneo";-;-;-;-;-;-;-;-;-;-;-;5020;-;-;-;-;-;-;-;5020
"L10   Penfigo";-;-;-;-;-;-;-;-;-;-;-;137;-;-;-;-;-;-;-;137
"L11   Outr afeccoes acantoliticas";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;6
"L12   Penfigoide";-;-;-;-;-;-;-;-;-;-;-;66;-;-;-;-;-;-;-;66
"L13   Outr afeccoes bolhosas";-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;27
"L21   Dermatite seborreica";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;4
"L25   Dermatite de contato NE";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"L26   Dermatite esfoliativa";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;10
"L27   Dermatite dev subst de uso interno";-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;30
"L30   Outr dermatites";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"L40   Psoriase";-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;76
"L50   Urticaria";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;16
"L51   Eritema polimorfo";-;-;-;-;-;-;-;-;-;-;-;115;-;-;-;-;-;-;-;115
"L52   Eritema nodoso";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;3
"L53   Outr afeccoes eritematosas";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;12
"L64   Alopecia androgenica";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
